ï»¿Tiitle,Company_name,Experience,Cities,Employment_type,Industry_type,Field1,Field2,Field3,Skills,Text,Text1
"Data Analyst","Teplar Solutions","0 - 4 years",Coimbatore,,"IT Services & Consulting","Data AnalystTeplar SolutionsSend me jobs like thisApply","Full Time, Permanent","Job description    Educational Qualifications    B.E/B.Tech/B.Sc    Experience    0 to 4 years    Job Description     Responsible for tracking daily litigation cases from various sources and update them into the database with quality. Ensure all tasks are timely and accurately processed in accordance with company's policies.   Involve in searching the Web or specialized databases and preparation or updating of reports depending on specific requirements.   Prior experience in client interaction Maintain high level of workflow and strict confidentiality of client and company matters Ensuring timely delivery of projects with good quality.   Working in Patent related/ Law firm/ Data Centric firms will be an added advantage.   Able to work collaboratively or independently, think creatively and take initiative.   Eye for detail, ability to prioritize, and strong sense of urgency relative to deadlines are a must.   Excellent communication skills, strong knowledge of Microsoft Office and easily adaptable to any circumstances.     Skills Required     Candidates with strong analytical and good communication skills. Proficient in MS-Office, Internet searches, Team player, creativity and self-driven, Eye for detail, ability to prioritize    RoleNon - Tech Support - Voice / Blended,Industry TypeIT Services & Consulting,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :B.Tech/B.E. in Production/Industrial, B.Sc in ChemistryPG :Any PostgraduateKey SkillsAnalyticalLitigationWorkflowCustomer supportBusiness Development ExecutiveClient interactionData AnalystMS OfficeAnalyticsPython","AnalyticalLitigationWorkflowCustomer supportBusiness Development ExecutiveClient interactionData AnalystMS OfficeAnalyticsPython","B.Tech/B.E. in Production/Industrial, B.Sc in Chemistry","Any Postgraduate"
"Data Analyst",loved.com,"0 - 3 years",Gurgaon,,Internet,"Data Analystloved.comSend me jobs like thisApply","Full Time, Permanent","Job descriptionMust Haves:    SQL expert     Looker/LookML experience     Python experience     Experience with subscription software (SaaS) company growth metrics     Startup person that loves challenges   Nice to Haves:    LookML developer certification     Some understanding of investing or finance industry     Experience with Google Analytics, Firebase, Optimizely would be nice-to-haves from the technical perspective  RoleFull Stack Developer,Industry TypeInternet,Functional AreaEngineering - Software,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsSANGoogle AnalyticsFinanceSAASData AnalystSavingSQLAndroidPythonInvestment","SANGoogle AnalyticsFinanceSAASData AnalystSavingSQLAndroidPythonInvestment","Any Graduate","Post Graduation Not Required"
"DATA ANALYST",Ressex,"0 - 5 years",Mumbai,,Banking,"DATA ANALYSTRessexSend me jobs like thisApply","Full Time, Permanent","Job descriptionExperience Required :  0 to 5 years Basic Qualifications :  M. Sc (Statistics)/ MBA/ B. E CTC :  As per industry standards Skill Sets Required :  Analytical Skills with knowledge of SQL,  R and Python Job Role and Responsibilities:  Interpret data,  analyze results using statistical techniques and provide ongoing reports Identify,  analyze,  and interpret trends or patterns in complex data sets Present information using data visualization techniques Analyze large amounts of information to discover trends and patterns Work with management to prioritize business and information needs Propose solutions and strategies to business challenges Develop and implement databases,  data collection systems,  data analytics and other strategies that optimize statistical efficiency and quality Collaborate with engineering and product development teams Locate and define new process improvement opportunities Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel,  R,  Python etc) Strong analytical skills with the ability to collect,  organize,  analyze,  and disseminate significant amounts of information with attention to detail and accuracy Adept at queries,  report writing and presenting findings  Experience Required :  0 to 5 years  Basic Qualifications :  M. Sc (Statistics)/ MBA/ B. E  CTC :  As per industry standards  Skill Sets Required :  Analytical Skills with knowledge of SQL,  R and Python  Interpret data,  analyze results using statistical techniques and provide ongoing reports  Identify,  analyze,  and interpret trends or patterns in complex data sets  Present information using data visualization techniques  Analyze large amounts of information to discover trends and patterns  Work with management to prioritize business and information needs  Propose solutions and strategies to business challenges  Develop and implement databases,  data collection systems,  data analytics and other strategies that optimize statistical efficiency and quality  Collaborate with engineering and product development teams  Locate and define new process improvement opportunities  Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel,  R,  Python etc)  Strong analytical skills with the ability to collect,  organize,  analyze,  and disseminate significant amounts of information with attention to detail and accuracy  Adept at queries,  report writing and presenting findingsRoleNon - Tech Support - Non Voice,Industry TypeBanking,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryNon VoiceEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsStrong analytical skillsProcess improvementReport writingData collectionData Analystdata visualizationMSCStatisticsSQLPython","Strong analytical skillsProcess improvementReport writingData collectionData Analystdata visualizationMSCStatisticsSQLPython","Any Graduate","Post Graduation Not Required"
"Data Analyst","Right Step Consulting","0 - 5 years","New Delhi, Gurgaon/Gurugram",,"Recruitment / Staffing","Data AnalystRight Step ConsultingSend me jobs like thisApply","Full Time, Permanent","Job descriptionBrief Role :  Data Analyst  Job Description  POSITION : Data Analyst REPORTS TO : Project ManagerEXPERIENCE : 1.5 -  5 YearEDUCATION : B Tech passed from Top Rank Collages LOCATION : Bangalore Key Responsibility Work closely with product management,  data science,  marketing,  engineering etc. to understand their respective needs and construct queries that help address these needsDevelop queries that help highlight key trends in traffic patternsWork with several key stakeholders to tune the queries and evolve them as neededGenerate periodic customized reports for consumption internally at Instart Logic  ROLE REQUIREMENTS 	Have work experience in ML,  Data Science,  Python,  Data Mining,  Data Analysis	1.5 to 5.0 years minimum experience working with SQL or similar query languages	Knowledge of and experience working with Presto,  Hive or Similar tools	Expert knowledge and hands on experience with SQL constructs	Expert knowledge and hands on experience of PHP or similar programing language with extensive scripting experience	Hands on experience in generating reports using tools such as Zepellin,  iDash,  excel or other open source dashboard tools etc.	Ability to work in a fast paced startup environment with a globally dispersed workforce	Willingness to learn quickly and apply knowledge to work at hand  Desired Experience:  Experience representing data in the most effective manner catering to different audienceExperience working in Big Data technologiesSalary: Not Disclosed by RecruiterIndustry:IT- Software /  Software ServicesFunctional Area:IT Software -  Application Programming ,  MaintenanceRole Category:System Design/ Implementation/ ERP/ CRMRole:Datawarehousing Technician Desired Candidate Profile  Education-  UG: B.Tech/ B.E. -  Any Specialization,  ComputersPG:M.Tech -  Any Specialization,  ComputersPlease refer to the Job description aboveRoleNon - Tech Support - Voice / Blended,Industry TypeRecruitment / Staffing,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsProduct managementERPData analysisPHPData AnalystOpen sourceData miningSQLCRMPython","Product managementERPData analysisPHPData AnalystOpen sourceData miningSQLCRMPython","Any Graduate","Post Graduation Not Required"
"Data Analyst",Netomi,"0 - 1 years",Gurgaon,,Internet,"Data AnalystNetomiSend me jobs like thisApply","Full Time, Permanent","Job description   Job Description:     We are looking for a Data Analyst who can help us dig into raw data, analyse it and draw conclusions that help in making business decisions.   Responsibilities    Business Analysis to understand the client's business and work with Data Analysts to define the Deep Learning (DL) model      Quality Assurance of Deep Learning models      Analyze the conversation quality in chatbots      Leverage multiple crowdsourcing strategies to collect training and test data for DL models and help with cleansing, filtering and massaging those data      Providing a high level of data quality awareness across multiple teams      Evaluate and identify where enhancements of data to maintained higher quality data      Detailed testing feedback preparation to help the team to improve the models.      Monitor and improve the Data Quality Assurance process that can meet/exceed the current standards and procedures      Learn and/or leverage the required software tools and technology    Requirements    0-1 years experience in related field      Bachelors degree from a Tier I/Tier II college      Knowledge of any one foreign language - French, Spanish or Russian      Excellent written and verbal communication skills      An eye for detail and accuracy   RoleSystem Analyst,Industry TypeInternet,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduatePG :Post Graduation Not RequiredKey Skillsdeep learningManager Quality AssuranceFrenchBusiness analysisArtificial IntelligenceManager TechnologyData qualitySpanishData AnalystCustomer service","deep learningManager Quality AssuranceFrenchBusiness analysisArtificial IntelligenceManager TechnologyData qualitySpanishData AnalystCustomer service","Any Graduate","Post Graduation Not Required"
"Data Analyst",Msg.ai,"0 - 1 years",Gurgaon,,Internet,"Data AnalystMsg.ai4.0(2 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description    We are looking for a Data Analyst who can help us dig into raw data, analyse it and draw conclusions that help in making business decisions.   Â     Responsibilities      Business Analysis to understand the client's business and work with Data Analysts to define the Deep Learning (DL) model     Quality Assurance of Deep Learning models     Analyze the conversation quality in chatbots     Leverage multiple crowdsourcing strategies to collect training and test data for DL models and help with cleansing, filtering and massaging those data     Providing a high level of data quality awareness across multiple teams     Evaluate and identify where enhancements of data to maintained higher quality data     Detailed testing feedback preparation to help the team to improve the models.     Monitor and improve the Data Quality Assurance process that can meet/exceed the current standards and procedures     Learn and/or leverage the required software tools and technology    Requirements    0-1 years experience in related field     Bachelors degree from a Tier I/Tier II college     Knowledge of any one foreign language - French, Spanish or Russian      Excellent written and verbal communication skills     An eye for detail and accuracy  RoleSystem Analyst,Industry TypeInternet,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduatePG :Post Graduation Not RequiredKey Skillsdeep learningManager Quality AssuranceFrenchBusiness analysisArtificial IntelligenceManager TechnologyData qualitySpanishData AnalystCustomer service","deep learningManager Quality AssuranceFrenchBusiness analysisArtificial IntelligenceManager TechnologyData qualitySpanishData AnalystCustomer service","Any Graduate","Post Graduation Not Required"
"Data Analyst","QuinStreet, Inc.","0 - 3 years",Pune,,"Film / Music / Entertainment","Data AnalystQuinStreet, Inc.2.9(13 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description        Job Category     We are looking for an incredibly smart, dynamic and strategic     Data Analyst to develop data-driven insights that enable     QuinStreet s     Marketing and Media teams maximize profitability while improving customer relationships.    This role will create and execute reports for various product lines Leads,    eSeminars   , Display and Clicks as well as keeping detailed records on campaign delivery and updating/tracking monthly delivery numbers.     This person will be extremely detailed oriented, client focused, with the ability to time manage to ensure all reporting is delivered on time and accurately.     You will use data mining and statistical methods to extract valuable insights from our data that lead to maximizing ROI.       Responsibilities       Data diagnostics extracting, scrubbing and patching very large sets of data together from a variety of internal and external sources     Reporting summarizing data and automating reports around campaign performance, which will be utilized frequently in client interactions     Forecasting creating predictive models for new and existing clients relating to site traffic, conversion and pricing     Campaign Optimization creating hypothesis tests and regression models to continuously calibrate campaign attributes to achieve maximum client spend and ROI     Effectively communicating your insights and findings to other members of our Marketing and Media teams     Qualifications       B.S. degree in quantitative major like Statistics, Mathematics, Operations Research, Physics, Computer Science or related     M.S. degree strongly preferred in one of the majors mentioned above     3+ years of experience in an analytical role, applying statistical methods     Strong applied analytics:       proven business and analysis skills     Strong and persuasive communication skills: exceptional visualization, verbal and written communication skills that have helped expand your analytical influence     Outstanding problem solving skills: you re not just repeating a    playbook,   you re looking at every problem with fresh eyes, and digging deep for insights and solutions     Independence and proactivity: self-starter with demonstrated experience in leading and delivering impactful solutions to large business problems       Interpersonal and presentation skills:       you are able to confidently communicate and present insights and recommendations to senior management     Proficiency in MS Excel and familiarity with database systems (Oracle, SQL Server,     etc   )     Tableau and SQL experience is a plus   RolePublic Relations,Industry TypeFilm / Music / Entertainment,Functional AreaMarketing & Communication,Employment TypeFull Time, PermanentRole CategoryCorporate CommunicationEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsExcelOnline MediaComputer ScienceOperations ResearchData MiningData AnalystTableauStatisticsAnalyticsSql","ExcelOnline MediaComputer ScienceOperations ResearchData MiningData AnalystTableauStatisticsAnalyticsSql","Any Graduate","Post Graduation Not Required"
"Data Analyst",Moglix,"0 - 2 years",Noida," ","Film / Music / Entertainment","Data AnalystMoglix3.1(69 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description            Role Objective       We are looking for a Data Analyst who will help our business and leadership teams take data centric decisions based on information and insights gained from analyzing vast amount of data.         Role Responsibilities           Responsible to analyze raw data, Manipulate, Cleanse and Process data of User/Web/Sales Analytics.            Responsible for performing data driven growth analytics for building topline and optimizing sales.            Create data dashboards, graphs and visualizations.            Preforming the analysis of large data stores and derives insights.          Qualification & Experience            Essential/ Desirable          Work Experience               MySQL          Microsoft Excel          Adobe Analytics          Google Analytics      Essential       Knowledge/ Skills       Strong written and verbal communication skills      Essential       Education       Graduation from a Tier1/2 college      Essential   RoleBusiness Analyst,Industry TypeFilm / Music / Entertainment,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryBusiness Intelligence & AnalyticsEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsGoogle AnalyticsExceladobe analyticsSalesweb salesMySQLSales analyticsData Analyst","Google AnalyticsExceladobe analyticsSalesweb salesMySQLSales analyticsData Analyst","Any Graduate","Post Graduation Not Required"
"Data Analyst","Reval India Pvt. Ltd.","0 - 1 years",Noida,,"IT Services & Consulting","Data AnalystReval India Pvt. Ltd.Send me jobs like thisApply","Full Time, Permanent","Job description  As a part of the Services Team, analysts will be responsible for delivery of the Market Data services we offer to our Treasury SaaS clients across the globe. This position requires support in one of the 3 time zones APAC, EMEA or North America. The shift alignment is subject to the periodic reviews and changes based on the ongoing business requirements.   Â    This role will include coordinating with the product teams on monthly system upgrades, raising fix and enhancement requests in addition to performing the UAT periodically (Software Development Life Cycle SDLC). The Market Data Analyst is responsible for ensuring that Reval data is compliant with its market data vendors (primary and sub-vendors). Analysts also need to ensure that the Market Data Services is also compliant with the internal policies and procedures.   Â     Responsibilities     Certify market data provided by the vendors in the Reval system for accuracy using EOD control reports and additional validation checks   Publish EOD Snapshot accurately for client portfolio valuations   Research market data issues and provide resolution   Escalate critical issues to the management in a timely manner   Engage with various market data vendors, and other Reval departments with regards to the pricing inquiries   Work with the product team on changes, product enhancements or new market data requests   Perform acceptance testing of the new releases and patches   Complete all vendor notifications and request in a timely manner   Complete periodic compliance reporting to vendors as necessary   Work with the management teams with regards to the Internal and External audit requests, including preparing the required compliance reports for requests   Collaborate with team members and the product team to resolutions of issues     Required Experience, Skills and Qualifications     Degree in Finance, Business, Information Systems, Computer Science, Engineering, or any other related field   Enrolment or completion of any other financial or technical program is an advantage   Understanding of financial derivatives, financial theory, is an advantage   Strong computer skills and familiarity with at least one computer language   0-1 year of professional experience in technical environment (including internship experience)   RoleSystem Analyst,Industry TypeIT Services & Consulting,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduatePG :Any PostgraduateKey SkillsMarket DataComplianceFinanceBankingComputer ScienceNew BusinessTreasuryComputer SkillsSupply ChainRisk Management","Market DataComplianceFinanceBankingComputer ScienceNew BusinessTreasuryComputer SkillsSupply ChainRisk Management","Any Graduate","Any Postgraduate"
"Data Analyst","Salve Software Services","0 - 2 years",Nagpur,,"IT Services & Consulting","Data AnalystSalve Software Services4.6(6 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description  Job Requirement:    Good written and spoken English.   Comfortable working with Excel and MS Word.   CC++ coding skills would be a plus   Previous experience with website and App design preferred but not required.   Self motivated,  with high energy and an engaging level of enthusiasm.   0- 2 years of Experience.           RoleNon - Tech Support - Non Voice,Industry TypeIT Services & Consulting,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryNon VoiceEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsC++ExcelCodingData AnalystMS Word","C++ExcelCodingData AnalystMS Word","Any Graduate","Post Graduation Not Required"
"Data Analyst",Moglix,"0 - 2 years",Noida,,Internet,"Data AnalystMoglix3.1(69 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description  Â     Work with various internal teams (e.g. supply chain, fulfillment center, Online, Enterprise ,Technology teams) to help drive tools and process improvements that affect vendor/catalog   Responsible to analyze raw data, Manipulate, Cleanse and Process data of User/Web/Sales Analytics.   Responsible for performing data driven growth analytics for building topline and optimizing sales.   Create data dashboards, graphs and visualizations   Preforming the analysis of large data stores and derives insights   Improve Algorithm for best matching of Moglix products with client requirements   Drive appropriate data oriented analysis, adoption of technology solutions and process improvement projects to achieve operational and business goals    Â   RoleBusiness Analyst,Industry TypeInternet,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryBusiness Intelligence & AnalyticsEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsSupply chainGoogle AnalyticsExceladobe analyticsSalesProcess improvementMySQLData AnalystTechnology solutionsOperations","Supply chainGoogle AnalyticsExceladobe analyticsSalesProcess improvementMySQLData AnalystTechnology solutionsOperations","Any Graduate","Post Graduation Not Required"
"Data Analyst","CALIBRE INFOTECH","0 years","Coimbatore,Tamil Nadu",,"IT Services & Consulting","Data AnalystCALIBRE INFOTECHSend me jobs like thisApply","Full Time, Permanent","Job description
Using automated tools to extract data from primary and secondary sources
Removing corrupted data and fixing coding errors and related problems
Developing and maintaining databases, data systems â€“ reorganizing data in a readable format
RoleData Scientist
Industry TypeIT Services & Consulting
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryData Science & Machine Learning
Education
UG :BCA in Any Specialization, B.Com in Any Specialization, B.Tech/B.E. in Any Specialization
PG :MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, MCA in Any Specialization
Key Skills
BcomEngineeringBcafresherComputer ScienceB.EMechMCAB.Tech","BcomEngineeringBcafresherComputer ScienceB.EMechMCAB.Tech","BCA in Any Specialization, B.Com in Any Specialization, B.Tech/B.E. in Any Specialization","MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, MCA in Any Specialization"
"Data Analyst","Next Labs","0 - 4 years",Bengaluru,"  The ideal candidate:  ",Internet,"Data AnalystNext Labs5.0(2 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description  The ideal candidate:      Strong self starting analyst who is technical, business savvy and impact driven     Results oriented who uses data to back up their recommendations     Problem solver who can drive game changing growth by developing strong hypotheses and use technical expertise to design experiments      Must be able to communicate complex ideas to non-technical team members     Report to the CTO     Bachelors and Masters Computer Science, Mathematics, Statistics, Operations Research or other quantitative fields     0-4 years of experience       Technical skillset:      Fluent in SQL and database management     Ability to work with statistical packages     Python and other scripting languages a plus   RoleFull Stack Developer,Industry TypeInternet,Functional AreaEngineering - Software,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer scienceAnalystdeep learningOperations researchGamingAnalyticsSQLAndroidPython","Computer scienceAnalystdeep learningOperations researchGamingAnalyticsSQLAndroidPython","Any Graduate","Any Postgraduate"
"Data Analyst","DECIMAL POINT ANALYTICS PRIVATE LIMITED","0 - 2 years","Mumbai, Nasik/Nashik",,"Analytics / KPO / Research","Data AnalystDECIMAL POINT ANALYTICS PRIVATE LIMITED3.5(46 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description
Roles and Responsibilities

To achieve business objectives by supporting and ensuring successful completion of building, testing and deployment of analytics tasks
Data mining and data research
To prepare dashboards, reports, analysis reports
Effectively communicating insights and plans to cross-functional teams, artificial intelligence / machine learning experts, management, etc. to develop innovative and automated research solutions
Good analytical skills and ability to work on different projects/different teams.
High level of attention to detail.
Good command on English.
Knowledge of MS Excel and VBA macros is added advantage.



Desired Candidate Profile

Strong analytical skills with ability to provide data-backed analysis and work with large data sets.
Excellent written and verbal communication and interpersonal skills.
Exceptional analytical and conceptual thinking skills to materialize a strategic project
The ability to communicate with stakeholders and work closely with them to determine acceptable solutions






RoleData Analyst
Industry TypeAnalytics / KPO / Research
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
PG :MBA/PGDM in Finance
Key Skills
analyticsexceltableaumacrosbusiness analysispower bibusiness intelligence","analyticsexceltableaumacrosbusiness analysispower bibusiness intelligence","Any Graduate","MBA/PGDM in Finance"
"Data Analyst","FE FUNDINFO (INDIA) PRIVATE LIMITED","0 - 1 years",Chennai," ",Banking,"Data AnalystFE FUNDINFO (INDIA) PRIVATE LIMITED4.9(9 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description

Position: Data Analyst

Job Location Chennai, India

Work Experience Fresher

Qualifications Any Arts & Sciences UG Qualification

Reporting to Team Leader

Shift schedule General Shift

Job Summary:

Responsible for collection, validation & analysis of mutual fund data.

Duties and responsibilities:

Collection, validation, analysis of mutual fund information.

Updating the mutual fund information into our databases in a timely manner.

Perform quality checks.

Communicate with UK and Offshore asset management companies via email/telephone.

Provide clarifications to clients queries based on priority and urgency levels.

Extract and provide various project-related reports as required by the manager.

Key Technical Skills

Possess basic knowledge of Mutual funds and/or of the financial sector. Proficient in MS Office (including MS Outlook)

Competency Requirement:

Strong verbal and written communications skills Good analytical & problem-solving skills Ability to work independently.

Planning, organizing and time management skills

Achieve results within deadlines whilst maintaining quality




RoleCustomer Success, Service & Operations - Other
Industry TypeBanking
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryCustomer Success, Service & Operations - Other
Education
UG :B.B.A/ B.M.S in Any Specialization, B.Com in Any Specialization
Key Skills
Financial SectorMutual FundsMS OutlookMS OfficeCommunication","Financial SectorMutual FundsMS OutlookMS OfficeCommunication","B.B.A/ B.M.S in Any Specialization, B.Com in Any Specialization",
