Tiitle,Company_name,Experience,Cities,Employment_type,Industry_type,Field1,Field2,Field3,Skills,Text,Text1
Scientific Data Research Analyst,E-Merge tech Global Services Pvt Ltd,0 - 3 years,Chennai, To Extract Scientifically Important Information and Data from the Scientific Research Articles. ,IT Services & Consulting,Scientific Data Research AnalystE-Merge tech Global Services Pvt Ltd2.5(22 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description   Job Description    To Extract Scientifically Important Information and Data from the Scientific Research Articles.    Roles & Responsibilities     Understand the Process Standard Operating Procedure and Instruction Manuals     Read and Review the Research Articles and Identify the Scientifically Relevant Important Information     Extract the information in given format     Skills     Able to Review scientific research article independently     Good Knowledge in Research Study Design, Animal Models, Wild Type, Regular Phenotype studies     Good understanding in Molecular Mechanism, Replications, Transcription, Translation and Cell Functions     RNA translation Processes etc.     Research Mindset is very Important       Required Qualification       Molecular Biology/ BioChemistry Major     Masters / Engineering     Good communication Skills (able to talk with overseas clients)     Good interpretational skills     Good Academic Percentage  RoleClinical research Scientist,Industry TypeIT Services & Consulting,Functional AreaResearch & Development,Employment TypeFull Time, PermanentRole CategoryPharmaceutical & BiotechnologyEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsTranslationTranscriptionData Research AnalystBiochemistryResearchMolecular biology",TranslationTranscriptionData Research AnalystBiochemistryResearchMolecular biology,Any Graduate,Post Graduation Not Required
Research Analyst / Primary / Secondary Data - Claim Banking Insurance,GABA Consultancy services ,0 - 5 years,"Noida, New Delhi, Gurgaon/Gurugram",Required Candidate profile,Analytics / KPO / Research,Research Analyst / Primary / Secondary Data - Claim Banking InsuranceGABA Consultancy services Send me jobs like thisApply,"Full Time, Permanent","Job description
Research Analyst - Process / Primary / Secondary / Business -Analytics Responsibility

Fresher Can Apply

>Research Analyst

Analyzing the Sector

>Process Analytics

Writing reports

>Business Analytics

Analytical

HR
Team
8077697077



Required Candidate profile

Any Graduate/MBA Can Apply

Proficient/Fresher in Advanced Excel, VBA, SQL,Tableau

Jobs in Delhi, Noida,Gurgaon, Greater Noida

HR
Team
RoleBusiness Analyst
Industry TypeAnalytics / KPO / Research
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
Key Skills
Process AnalysisResearch AnalysisAnalytics FresherKPOSales ExecutiveAnalyticsBusiness AnalysisfresherSecondary ResearchgraduateData AnalysisPrimary ResearchMarket ResearchPrimary Market Research",Process AnalysisResearch AnalysisAnalytics FresherKPOSales ExecutiveAnalyticsBusiness AnalysisfresherSecondary ResearchgraduateData AnalysisPrimary ResearchMarket ResearchPrimary Market Research,Any Graduate,
Knowledge Process Data Analyst,Vericle,0 - 2 years,Bangalore/Bengaluru,,Medical Services / Hospital,Knowledge Process Data AnalystVericleSend me jobs like thisApply,"Full Time, Permanent","Job description   RESPONSIBILITIES      Integrate Machine Learning technology into Vericle RCM process       Analyze and synthesize data to create automated decision support tools for Insurance claims processing, automated data entry, and Knowledge Process Quality Assurance       Use AWS Quicksight to create insightful and actionable reports and visualizations       Manage data quality      QUALIFICATIONS      Prior experience in:       SQL/General Database Knowledge       BI tools and Analytics       AWS Quicksight       Prior AR Follow-up and Quality Assurance experience or a commitment to acquire it first-hand by working in an AR follow-up team        Expert in data analysis, validation and mapping / design       Advanced Degree in Computer Science or similar       Excellent written and communication skills      NOTE      Must have stable internet connection minimum of 5 MBPS       Must be comfortable working the US business hours       Must own a laptop with at least 8 GB memory    RoleNon - Tech Support - Voice / Blended,Industry TypeMedical Services / Hospital,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceProcess automationData analysisManager Quality AssuranceMachine learningHealthcareData qualityAnalyticsData entrySQL",Computer scienceProcess automationData analysisManager Quality AssuranceMachine learningHealthcareData qualityAnalyticsData entrySQL,Any Graduate,Post Graduation Not Required
Knowledge Process Data Analyst,Vericle,0 - 2 years,Kochi/Cochin,,Medical Services / Hospital,Knowledge Process Data AnalystVericleSend me jobs like thisApply,"Full Time, Permanent","Job description    Vericle, a US-based Health IT company, offers EHR (Electronic Healthcare Records) software, and RCM (Revenue Cycle Management) services. We are looking for Data Analysts in Knowledge Process Automation (KPA) in India and the Philippines.     RESPONSIBILITIES      Integrate Machine Learning technology into Vericle RCM process       Analyze and synthesize data to create automated decision support tools for Insurance claims processing, automated data entry, and Knowledge Process Quality Assurance       Use AWS Quicksight to create insightful and actionable reports and visualizations       Manage data quality      QUALIFICATIONS      Prior experience in:       SQL/General Database Knowledge       BI tools and Analytics       AWS Quicksight       Prior AR Follow-up and Quality Assurance experience or a commitment to acquire it first-hand by working in an AR follow-up team        Expert in data analysis, validation and mapping / design       Advanced Degree in Computer Science or similar       Excellent written and communication skills      NOTE      Must have stable internet connection minimum of 5 MBPS       Must be comfortable working the US business hours       Must own a laptop with at least 8 GB memory    RoleNon - Tech Support - Voice / Blended,Industry TypeMedical Services / Hospital,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceProcess automationData analysisManager Quality AssuranceMachine learningHealthcareData qualityAnalyticsData entrySQL",Computer scienceProcess automationData analysisManager Quality AssuranceMachine learningHealthcareData qualityAnalyticsData entrySQL,Any Graduate,Post Graduation Not Required
Knowledge Process Data Analyst,Vericle,0 - 2 years,New Delhi,,Medical Services / Hospital,Knowledge Process Data AnalystVericleSend me jobs like thisApply,"Full Time, Permanent","Job description   RESPONSIBILITIES      Integrate Machine Learning technology into Vericle RCM process       Analyze and synthesize data to create automated decision support tools for Insurance claims processing, automated data entry, and Knowledge Process Quality Assurance       Use AWS Quicksight to create insightful and actionable reports and visualizations       Manage data quality      QUALIFICATIONS      Prior experience in:       SQL/General Database Knowledge       BI tools and Analytics       AWS Quicksight       Prior AR Follow-up and Quality Assurance experience or a commitment to acquire it first-hand by working in an AR follow-up team        Expert in data analysis, validation and mapping / design       Advanced Degree in Computer Science or similar       Excellent written and communication skills      NOTE      Must have stable internet connection minimum of 5 MBPS       Must be comfortable working the US business hours       Must own a laptop with at least 8 GB memory    RoleNon - Tech Support - Voice / Blended,Industry TypeMedical Services / Hospital,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceProcess automationData analysisManager Quality AssuranceMachine learningHealthcareData qualityAnalyticsData entrySQL",Computer scienceProcess automationData analysisManager Quality AssuranceMachine learningHealthcareData qualityAnalyticsData entrySQL,Any Graduate,Post Graduation Not Required
Knowledge Process Data Analyst,Vericle,0 - 2 years,Chennai,,Medical Services / Hospital,Knowledge Process Data AnalystVericleSend me jobs like thisApply,"Full Time, Permanent","Job description   RESPONSIBILITIES       Integrate Machine Learning technology into Vericle RCM process        Analyze and synthesize data to create automated decision support tools for Insurance claims processing, automated data entry, and Knowledge Process Quality Assurance        Use AWS Quicksight to create insightful and actionable reports and visualizations        Manage data quality       QUALIFICATIONS       Prior experience in:        SQL/General Database Knowledge        BI tools and Analytics        AWS Quicksight        Prior AR Follow-up and Quality Assurance experience or a commitment to acquire it first-hand by working in an AR follow-up team        Expert in data analysis, validation and mapping / design        Advanced Degree in Computer Science or similar        Excellent written and communication skills       NOTE       Must have stable internet connection minimum of 5 MBPS        Must be comfortable working the US business hours        Must own a laptop with at least 8 GB memory     RoleNon - Tech Support - Voice / Blended,Industry TypeMedical Services / Hospital,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceProcess automationData analysisManager Quality AssuranceMachine learningHealthcareData qualityAnalyticsData entrySQL",Computer scienceProcess automationData analysisManager Quality AssuranceMachine learningHealthcareData qualityAnalyticsData entrySQL,Any Graduate,Post Graduation Not Required
Data Analyst/Research Analyst For a Leading Market Research Company,MYFUTUREAPP ,0 - 1 years,"Noida, Ghaziabad, Faridabad, Gurgaon/Gurugram, Greater Noida, Delhi / NCR",Eligibility Criteria:,Analytics / KPO / Research,Data Analyst/Research Analyst For a Leading Market Research CompanyMYFUTUREAPP Send me jobs like thisApply,"Full Time, Permanent","Job description

Eligibility Criteria:

MBA/PGDM in Analytics / Operations / Marketing / IT
Batch 2021 pass out



Interview Process:

Telephonic round
Operational round (Virtual)



Salary Scale:

Probation period / Training (6 Months): 2.40 LPA
Post Probation Period: 3.60 LPA



Job Location: Patparganj, East Delhi




Mode of Joining: Work from home, Post Covid Location will be Delhi Office (Patparganj Industrial Area)




Job Responsibilities:

Knowledge of research methodologies and techniques
Superior knowledge with technological tools like Excel and PowerPoint. Knowledge of SPSS or any statistical software is a plus.
Excellent communication (both oral and written), attention to detail and follow-up skills are essential.
Good knowledge of Economics / Statistics
Good Analytical, Logical and Client handling skills



IMPORTANT:

Candidates will be on 6 months of their probation period from the date of their joining.
Post successful completion of their Training they will have to undergo an assessment.
Post clearing the assessment they will be allocated the roles as per their caliber and knowledge in Market Research.
Trainees should be open to work in any of these Market Research roles as : Survey programmer, Data Analyst/Research Analyst, Product Management Analyst
Role allocation will be decided by Management.
Currently Working from home afterwards Job location will be Patparganj Industrial Area, Delhi.
5 days working.
Flexible timings in day shift.
Candidates should be comfortable with Rotational shifts as well.
RoleData Analyst
Industry TypeAnalytics / KPO / Research
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
PG :MBA/PGDM in Information Technology, Marketing, Operations
Key Skills
EconomicsProduct ManagementStatistical SoftwareExcel PowerpointResearch AnalysisResearchStatisticsLogical ApproachCommunication SkillsData AnalysisIT MarketingMarket ResearchClient Handling",EconomicsProduct ManagementStatistical SoftwareExcel PowerpointResearch AnalysisResearchStatisticsLogical ApproachCommunication SkillsData AnalysisIT MarketingMarket ResearchClient Handling,"MBA/PGDM in Information Technology, Marketing, Operations",
Hiring - Data Research Analyst - Equity Operations,Morningstar,0 - 2 years,Mumbai( Sector 30A Vashi ),"Title: Data Research Analyst, Equity Operations",Banking,Hiring - Data Research Analyst - Equity OperationsMorningstar4.2(175 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Title: Data Research Analyst, Equity Operations

Team : Fundamentals & Non fundamentals

Shift : Flexible to work in shifts

Shift Timings (Morning) : 5:30 am to 2:30 pm (Pick up provided) / General : 10am to 7pm / Afternoon Shift (UK) : 3pm to 12am( Drop provided) / Night Shift (US) : 8pm to 5am (Drop provided)




How to Apply : Application Link (mandatory)

Candidates need to visit the below link and submit their application failing which the application wont be considered :




https://morningstar.wd5.myworkdayjobs.com/Americas/job/Mumbai/Data-Research-Analyst_REQ-019421





Eligibility:

Candidates who have attempted the online test for Equity role in past 6 months, wont be eligible.

60 % and above in Final year Graduation Or Post Graduation

Only Finance Graduates Or Post Graduates can apply to this role.
MBA / MMS / PGDM/ MCOM / BMS / BBA/ B&I / BCOM / A&F can apply.

Aadhar Card is mandatory for candidate registration at the time of attempting online test.

Immediate Joiners preferred.




Selection Process:

Eligible candidate will receive an email with the online test link and instructions. The candidate would be required to attempt the test as per the date and time mentioned in the email. The candidates selected in the test will undergo 3 virtual interview rounds. The online test and the interviews will happen in the month of October 2021 itself.




Only shortlisted candidates will be contacted by the recruitment team.




Date of Joining:

The expected date of joining is October 2021. We welcome candidates from diverse locations to apply since the onboarding will be virtual and selected candidates will be required to work from Morningstar office only once the Covid situation is under control.




Job Location: Vashi, Navi Mumbai




The Group:

Morningstar's Research group provides independent analysis on individual securities, funds, markets, and portfolios. The Research group also provides data on hundreds of thousands of investments offerings, including stocks, mutual funds, and similar vehicles, along with real-time global market data on millions of equities, indexes, futures, options, commodities, and precious metals, in addition to foreign exchange and Treasury markets. Morningstar is one of the largest independent sources of fund, equity, and credit data and research in the world, and our advocacy for investors interests is the foundation of our company.

The Role:

In this role you will work on collecting fundamental data from balance sheet, cash flow statement, income statement and footnotes for Global market companies as per the predefined collection policies. You will adhere to local teams goals, policies and procedures and work in a focused manner to achieve the overall organizations goals and objectives. You will be responsible for ensuring and improving the performance, productivity and efficiency and the delivery of the operational performance KPIs. You will effectively manage your performance and development in order to support our continuous operational success.

Responsibilities:

Establishing and achieving the set SMART goals with the direction of the team lead.
Have a very good understanding of the fundamental data for company's income statement, cash flow statement, balance sheet, and other fundamental data sets.

Expected candidates to be strong in Financial Accounting concepts with through understanding

Participate in the Center of Excellence initiative focused on reducing resource costs, consolidating global data collection platforms, and supporting database integration projects.

Own and Drive continuous improvement within the process through Quality initiatives.
Collecting and analyzing equity fundamentals data for Global market and taking ownership in data quality controls to ensure consistent and high quality data are manufactured in order to meet product requirements.
Manage data as per client-specific requirement, while at the same time adhering to Morningstar's set KPIs and KRAs.
Develop a thorough understanding of the various filing nomenclature of countries under coverage.
Passion for data and its impact on decision making.
Closely work with quality assurance and technical department to resolve clients data issues timely and effectively.
Actively discover and raise issues in work (including system, process, and collection methodology) and propose enhancement suggestion to further improve system functionality, process efficiency and data quality.
Participate in other data and process related projects, like industry/market data collection methodology research, market expansion, process certification, new product development support, etc.




Morningstar is an equal opportunity employer.

RoleFinancial Analyst
Industry TypeBanking
Functional AreaFinance & Accounting
Employment TypeFull Time, Permanent
Role CategoryFinance
Education
UG :B.Com in Any Specialization, B.B.A/ B.M.S in Any Specialization
PG :MBA/PGDM in Any Specialization, PG Diploma in Any Specialization, M.Com in Any Specialization
Key Skills
Data ResearchFinancial AnalysisFinanceResearch AnalysisFundamentalsEquityData Collection",Data ResearchFinancial AnalysisFinanceResearch AnalysisFundamentalsEquityData Collection,"B.Com in Any Specialization, B.B.A/ B.M.S in Any Specialization","MBA/PGDM in Any Specialization, PG Diploma in Any Specialization, M.Com in Any Specialization"
Data Analyst Intern,MoFirst Solutions Pvt. Ltd.,0 - 1 years,"Noida, Mumbai",,IT Services & Consulting,Data Analyst InternMoFirst Solutions Pvt. Ltd.Send me jobs like thisApply,"Full Time, Permanent","Job description  Data Analyst    Work with Product and Business to Identify problems and opportunities to improve.   Analyse large volume of data and derive meaningful insights for Business Product Team   Work with business and collect, understand, interpret and produce Insights/reports to their request.   Perform independent data/risk/business/revenue analysis and report to the business.   Work to ensure quality of the data, Insights and all analytics reports are maintained.   Closely work with Data Science and Data engineering teams to automate all types of analytical outputs.   Should be able to represent the data team and socialize its outputs with different stakeholders internal and external to the organization.   Would participate and work with the Data Engineering and Data Science team in Scoping, Developing, Productionizing and socializing data science related work   Should be able to represent the data team and socialize its outputs with different stakeholders internal and external to the organization.   Strong Mental Aptitude / IQ and Strong willingness to learn   Good communications skills to drive conversations with stakeholders.   Good understanding of data and its whereabouts.   Good understanding of SQL Distributed SQL ( i.e Should have experience in querying large data sets, understand the best practices)   Knowing Python programming is a bonus   Comfortable with using excel  RoleBusiness Analyst,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryBusiness Intelligence & AnalyticsEducationUG :Any GraduatePG :Any PostgraduateKey SkillsExceldata scienceInternAnalyticalRevenue analysisProgrammingData AnalystAnalyticsSQLPython",Exceldata scienceInternAnalyticalRevenue analysisProgrammingData AnalystAnalyticsSQLPython,Any Graduate,Any Postgraduate
Jr. Data Analyst (Freshers welcome to apply),Institutional Shareholder Services Inc.,0 - 2 years,Mumbai,,Banking,Jr. Data Analyst (Freshers welcome to apply)Institutional Shareholder Services Inc.3.0(7 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description    Responsibilities:        Search for, collect and verify data (of basic and intermediate levels of complexity) for companies under his/her assigned market based on current collection methodologies and acceptable sources       Attend to internal/client queries and requests to ensure data captured is aligned with data methodology and policy guidelines       Comply with established work process standards to ensure quality of data collected       Meet pre-determined turn-around goals for work assignments       Escalate data interpretation issues, as needed       Perform root-cause analysis if data issues are identified       Update internal documents for performance metrics monitoring       Participate in working committees/ projects and/or tasks aside from his/her core responsibilities       Maintain appropriate paper and electronic files as required by ISS and client file retention policies         Qualifications:       Bachelors Degree in Business, Legal Management, Finance, Economics, Accounting, Social Sciences, Communication or any equivalent/related course;         Excellent English communication (both oral and written) and reading comprehension skills        Knowledge and experience using MS Office       Strong analytical and problem-solving skills, with clear attention to detail       Good judgment in assessing information sources and understanding the downstream effects of data decisions on final product output       Highly motivated, independent, results-oriented, and possesses a strong sense of ownershi       Ability to work under tight deadlines       Experience in data collection and business research would be an advantage          RoleNon - Tech Support - Non Voice,Industry TypeBanking,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryNon VoiceEducationUG :B.B.A/ B.M.S in Management, Any GraduatePG :Any PostgraduateKey SkillsRoot cause analysisCorporate governanceBusiness researchAnalyticalData collectionISSMS OfficeMonitoringDownstreamJunior Data Analyst",Root cause analysisCorporate governanceBusiness researchAnalyticalData collectionISSMS OfficeMonitoringDownstreamJunior Data Analyst,"B.B.A/ B.M.S in Management, Any Graduate",Any Postgraduate
Data Analyst-Intern,FullContact,0 - 1 years,Kochi/Cochin,,IT Services & Consulting,Data Analyst-InternFullContact4.5(12 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description                    We have an internship opportunity - we are looking for self-starters who are looking to unlock and solve the mysteries that will eventually shape the identity resolution industry.               You will get the opportunity to be involved in various activities from data collection and processing to in-depth analysis and reporting, alongside a highly growth-oriented team.                 Learning opportunities for the intern                 Analyze large and complex data sets from multiple sources.                Learn to navigate through our highly complex systems and understand the underlying architecture.                 Defining the objective/problem and identifying all the intermediary activities to reach the end state.                  Complete the experiments/analysis within the stipulated timelines.                  Write simple to complex queries to perform data analysis.                  Handle unique data analysis requests from a range of data stakeholders                  Perform root-cause analysis when data issues are identified.                 Identify resources necessary to complete the task at hand.                 Create presentations and reports based on recommendations and findings.                  Communicate findings in the form of a meaningful story with the stakeholders.                  Work with a team of analysts and other associates to process information.                  Must-Have Skills                 Bachelor s or Master s degree in a relevant field                Advanced SQL Knowledge is a must-have.                Basics Scripting skills (Python or Bash scripting).                An analytical mind and inclination for problem-solving.                Clear attention to detail.                 Nice-to-Have Skills                  Familiarity with at least one notebook environment ( Jupyter, Zeppelin, Sagemaker)                  Basic knowledge in Python, Scala or any programming language supported by               Spark is nice to have.               We value your qualifications. But that s not all.                 To join our high performing team, you MUST ALSO:                 Have a positive attitude and love working with a team.                Have a strong sense of ownership.                Be highly motivated, independent, and results-oriented.                Capability to work under tight deadlines.                Ensure confidentiality of information at all times.          RoleSoftware Development - Other,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsRoot cause analysisData analysisInternAnalyticalData collectionCustomer experienceInternshipbash scriptingSQLPython",Root cause analysisData analysisInternAnalyticalData collectionCustomer experienceInternshipbash scriptingSQLPython,Any Graduate,Post Graduation Not Required
Data Analyst Intern Operations Excellence,Merkle Inc.,0 - 1 years,Pune,,Advertising & Marketing,Data Analyst Intern Operations ExcellenceMerkle Inc.Send me jobs like thisApply,"Full Time, Permanent","Job description   Job Description:    To be a Data Analyst at Sokrati, you need to be a jack of multiple trades: data mining, data visualization and presentation. Data analyst at Sokrati is someone who routinely creates stories out of the data that have a direct business impact.      If You are Excited About:     Have an unmatched analytics experience that allows you to work on bleeding-edge technologies.      Being a part of hottest profession of the decade      Learning & Growing far beyond your current horizon      Competitive Compensation with the usual benefits.      A place full of like-minded & ridiculously smart folks      A start-up culture that you d cherish forever in your work life      @Sokrati     Participate in every aspect of building a data-based product      Solve business problem that can impact multimillion marketing spends for some of the most popular brands. Conducting in-depth and detailed oriented data analysis to:    Provide insights/root causes for business performance    Identify new opportunity       Provide insights/root causes for business performance      Identify new opportunity     Qualifications:     University degree in Engineering, Mathematics or related area      Extensive knowledge of MS Excel and familiarity with query writing on SQL      Basic knowledge on data analysis, data profiling, data mining, data clustering and segmentation, data visualization and presentation      Nascent understanding of business, consumer and digital marketing data micro vs. macro, representation & data formats (text, databases, spreadsheets, etc.)      Skills      Strong follower of data driven decision-making      Proven ability of working on automation project using R/Python/MS Power Automate     Willing to take up a lead & team player      Proven ability in grokking and working with new technologies     Curious about Digital Marketing World   RoleNon - Tech Support - Voice / Blended,Industry TypeAdvertising & Marketing,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :B.Tech/B.E. in Production/IndustrialPG :Post Graduation Not RequiredKey SkillsData analysisAutomationData Analystdata visualizationData miningDigital marketingAnalyticsCRMSQLPython",Data analysisAutomationData Analystdata visualizationData miningDigital marketingAnalyticsCRMSQLPython,B.Tech/B.E. in Production/Industrial,Post Graduation Not Required
DIGITAL DATA ANALYST INTERN,DG7,0 - 1 years,"Mumbai, Vasai",  Education Qualifications:   Must hold a Bachelor s Degree ,IT Services & Consulting,DIGITAL DATA ANALYST INTERNDG73.6(9 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description  Education Qualifications:   Must hold a Bachelor s Degree    Skills Required:     1) Google Analytics 2) Ms-Excel 3) Python 4) R 5) MySQL    Ability to interpret large amounts of data and to multi-task   Good presentation and time management skills   Hands on Experience of Marketing and digital marketing tools. (Google AdWords, Social Ads, Social Analytics, CRM, Marketing Automation, etc)   Hands on Experience of social media platforms. (Data Extraction, Social Analytics)   Adequate knowledge of data collection. (Hands on Google Tag Manager)   Hands on Experience of social media platforms. (Data Extraction, Social Analytics)Adequate knowledge of data collection. (Hands on Google Tag Manager)     Key Responsibilities:     Use google analytics and other analytics software for data mining and analysis.   Well versed with social media tools like LinkedIn, Facebook, Twitter.   Establishing statistical validity of the data, conducting hypothesis testing (using R/Python/Excel as required)   Conducting exploratory analysis on the data and providing actionable insights   Building reports in Excel, Tableau Looker etc.   Working upon day-to-day data analysis requirements, data visualization, and any data and reporting requirements   Implement new algorithms for optimization, recommendation, attribution and emerging real-time consumer analytics.   Preparing and maintaining master report for entire set of activities, including daily activity, daily spends of SMM SEM Campaigns Client wise etc   Communicate Coordinate with internal teams for various data requirements   Reports preparation, maintenance of data, making reports in Google excel Sheet.   Admin Data Management.     Any UG / Graduate   Excellent communication skills   Should be well versed with MS-Office   Should be a team player, quick learner   He / She be able to deliver under tight deadlines   He / She be able to take initiatives and responsibilities of his / her work  RoleNon - Tech Support - Voice / Blended,Industry TypeIT Services & Consulting,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Any PostgraduateKey SkillsData analysisData managementSocial mediaData collectionCustomer supportSEMMS OfficeData miningAnalyticsCRM",Data analysisData managementSocial mediaData collectionCustomer supportSEMMS OfficeData miningAnalyticsCRM,Any Graduate,Any Postgraduate
"HR, Data Analyst, Administrator, Counsellor, Accountant",The Cambria International School Kalyan (IGCSE),0 - 2 years,Mumbai,"We are hiring for HR, Data Analyst, Administrator, Counsellor and Accountant for an IGCSE school  ",Education / Training,"HR, Data Analyst, Administrator, Counsellor, AccountantThe Cambria International School Kalyan (IGCSE)Send me jobs like thisApply","Full Time, Permanent","Job description

We are hiring for HR, Data Analyst, Administrator, Counsellor and Accountant for an IGCSE school

Be accountable and responsible for organization growth and development
Should be able to plan and execute an assigned task
Data Analyst ( software and hardware ) : Will be involved in networking, digital marketing, live event on social media, data maintenance, hardware testing, web designing and developing, graphic designing, familiar with online platform features
Administrator: Will be handling the front office, the telephonic queries, monitoring housekeeping staff, stock maintenance, asset management, stationary and library maintenance, monitoring staff attendance, vendor management, event management
Counsellor: Will be doing the lead generation, data maintenance, calling, admission related counseling , collection of fees, strategies for event organization and management
Accountant: Will be handling the entire accounts of the organization, fees collection, balance sheet, tally entries, staff salary, awareness of government rules and laws applicable for education sector, vendor payments. bank reconciliation


Desired Candidate Profile



Qualification - Post graduation in IT/Accounts, Commerce Graduate
Candidates from Thane to Badlapur is preferred
Education industry IGCSE preferred
Good communication ,Email writing
Basic knowledge of computers: word, power point, excel, video making and recording
Online working : Microsoft teams and Zoom
Schooling from English medium preferred
Candidate should be from nearby areas only
Open to learning
Should be able to speak fluently in English
Should have a pleasing personality, good communicator and posses strong
Convincing skills and attitude
Should be able to work in a team
Should have speaking and calling etiquettes during a telephonic conversation
Should be able to plan and execute an assigned task.

Base location : MUMBAI (Thane to Badlapur)

RoleAdministration & Staff - Other
Industry TypeEducation / Training
Functional AreaTeaching & Training
Employment TypeFull Time, Permanent
Role CategoryAdministration & Staff
Education
PG :MBA/PGDM in Finance, M.Com in Any Specialization
Key Skills
Admission CounsellingAdministrationLead generationTallyaccountantFront OfficeSchool AdministrationnetworkingDigital MarketingHRaccountingCounsellingdata analystAdministratorcounsellorData AnalysisCold CallingFresherSchool accounting",Admission CounsellingAdministrationLead generationTallyaccountantFront OfficeSchool AdministrationnetworkingDigital MarketingHRaccountingCounsellingdata analystAdministratorcounsellorData AnalysisCold CallingFresherSchool accounting,"MBA/PGDM in Finance, M.Com in Any Specialization",
"Financial Research Analyst, Research Associate, Data Researcher",AINE Info Tech Pvt Ltd,0 - 2 years,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Required Candidate profile,Analytics / KPO / Research,"Financial Research Analyst, Research Associate, Data ResearcherAINE Info Tech Pvt LtdSend me jobs like thisApply","Full Time, Permanent","Job description
- Secondary research on Equity & Debt offerings, Credit Research, Financial Reports & Company Profiles
- Financial market related data research & analysis
- Involvement in Global assignments
- Work on databases such as Capital IQ, Bloomberg & Factiva



Required Candidate profile

- Academic exposure to finance/economics/commerce
- Strong expertise of financial market
- Excellent written and verbal communication skills
- Exposure to financial databases or MBA will be preferred
RoleResearch Analyst
Industry TypeAnalytics / KPO / Research
Functional AreaBFSI, Investments & Trading
Employment TypeFull Time, Permanent
Role CategoryTrading, Asset & Wealth Management
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Investment ResearchData ResearchFinancial AnalysisFinancial ResearchSecondary ResearchResearch AnalysisCompany AnalysisEquity ResearchIndustry Analysis",Investment ResearchData ResearchFinancial AnalysisFinancial ResearchSecondary ResearchResearch AnalysisCompany AnalysisEquity ResearchIndustry Analysis,Any Graduate,Any Postgraduate
